tweet	topic	sentiment
covid	o	-1.0
vaccinesceptic urged jabbed save lives #pembrokeshire	ov	0.0
position budget country apbn pen covid19 rp74477 trillion onethird budget head regional office directorate treasury papua province burhani media crew thursday#westpapua #papua	g	0.0
yall smell lockdown coming variant aint happening	m	0.0
announce vaccine guarantee protection variants failed comprehension school hey	m	-1.0
sucks quarantine travel restrictions sound public health measures deadly contagious diseases course experience virus travels faster news singling countries probably effective	m	1.0
luck fortunate substantial effects mildly sore arm 3 moderna doses placebo theres hope	p	1.0
complacent #germany facing bleak 2022 lags uk chancellor warned #brexit #olafscholz #merkel	g	0.0
determined prolong pandemicvaccine mandates unconstitutional theyve decades involve communist tacticsits staggering stupid	p	-1.0
refusingremember drill baby drilleverybody jumping oil wagon return investments werent greatthan covid invest domestic oil production throw stock market	o	-1.0
son 29 ago hooping cough vaccination fine feel pain prayers	ov	1.0
vax passport isnt proof jabed exemption vax passport hard understand vax messed critical thinking rest covid lemmings	ov	-1.0
omicron covid19 variant monitored wa sets reopening date mark mcgowan	g	0.0
desperation hold onto belief covid deadly luck youll majority people bull lies fear mongering means whatever floats boat guess	o	-1.0
researchers determine vaccination regimens twist arms hard politically feasible people stop	p	0.0
vaccinated people die 2 yearsnobel peace prize winner virologist luc montagnier confirmed chance survival people received form vaccine	ov	-1.0
devils detail vaccinated defined jab jab 2 weeks havent elapsed months ago	ov	-1.0
strongly suggest live bexley sidcup constituency vote elect richard tice thursday loud vocal opposition parliament future ridiculous covid measures following party whip	g	1.0
am shopping cause fear lockdown return listen	o	0.0
love solar powered microchips vaccine inside body completely unexposed sunlight mmm yummy	ov	0.0
th africa #as complained punished instead applauded discovering omicron concerning variant covid19	g	0.0
government teat business run business aware due lack supports latter covid	g	-1.0
hello omg vaccine sp log fcukd	ov	-1.0
yeah id real life pictures bacteria shown graphics enhanced real pictures covid variants	o	0.0
people call trump racist banned travel chinabut chinese nationals else travel china start pandemic	g	1.0
whatever theyre told daddy governmentthis projectiontrump daddy governmentfew people vaccinated told vaccinated considered scientific evidence decided themselves	g	0.0
confidential ocgn #covaxin 9000000th time happening behindthescenes	o	0.0
consistently demands covid action else acting themselveswe vaccine mandates serious push towards vaccination rates third doses measures provincial responsibilities jurisdiction act	p	1.0
booster jab cancelled	a	0.0
happening prior pandemic rushed middle specifically future little sooner expected	o	0.0
son covid vaccine scheduled walgreens received confirmation email yesterday drove hour round trip told pharmacy closed weekends reschedule incredibly frustrating	p	-1.0
omicron reason concerned de gascun	s	0.0
solo belle notizie thanks #covid #covid19	o	1.0
oh yes cdc analysis doctored covid deniers trump admin supports argument	g	-1.0
wake qld vaccinated travellers allowed sanot steady flow covid casesvaccination stop transmission whats vaccine passportsthey offer protection#auspol	a	-1.0
fck covid	o	-1.0
condolences families loved ones friends communities 41 people lost covid19 absence deeply	o	1.0
am signing lifetime booster shots undisclosed ingredients undisclosed manufacturing process pharma zero liability jab injures kills costly follow care heart free shot	a	-1.0
virus talking media thats agree talking covid 19 998 survival ratei people covid people survived	p	0.0
omg mean complete lockdown	m	0.0
fda authorizes covid boosters adults mdedge internal medicine	g	0.0
delta variant suddenly names line skipped omicron acceleration naming variants jumped agenda accelerated	ov	0.0
covid related air sand look record border crossings illegals maybe look commenting fyi covid 19 doesnt exist produce 1 1 truth isolation source cant	g	0.0
vaccinated	ov	0.0
transmission potential vaccinated unvaccinated persons infected sarscov2 delta variant federal prison julyaugust 2021	ov	0.0
pfizer jab time tweet mckeith looks bollocks	ov	-1.0
#thailand recorded 6073 #covid19 32 deaths saturday	g	-1.0
officials briefed pm modi variant concern #omicron characteristics impact seen various countries implications india discussed pm spoke proactive light variant pmo #omicronvariant	g	0.0
cant taxi youve covid stupid suggestion	m	-1.0
whiskey recommendations omicron round pandemic	ov	0.0
variant easily transmitted evades jab easily deadlyweird	ov	0.0
south africa world precious gift gratitude support resources battle own outbreak gift deserves treated respect deserves acting itby	g	1.0
cardinal parolin fraternity hope keys finding crises vatican news	g	1.0
omicron anagram moronic laughing	o	0.0
rep ronny jackson raved trumps health top white house physician called omicron midterm election variant democrats somehow cooked push mailin ballots via	g	-1.0
treating covid19 cold	o	0.0
virus weak release vaccine weaken immune system kill youdarkest winter	ov	-1.0
doctors covid	s	1.0
