tweet	label	sentiment
@tealtaylah They have covid	o	-1
Vaccine-sceptic care workers urged to get jabbed to save lives https://t.co/WxY8N9C48m #Pembrokeshire	ov	0
"The position of the budget in our country in the APBN for PEN and Covid-19 is Rp.744.77 trillion, one-third of our State Budget,” said Head of the Regional Office of the Directorate General of Treasury for Papua Province, Burhani  AS to the media crew, Thursday.#westpapua #papua"	g	0
Why y’all “smell” another lockdown coming every year with each new variant? It ain’t happening.	m	0
@MoshabelaMosa Did they announce the vaccine would guarantee protection against new variants? You failed comprehension on school hey? It shows.	m	-1
"@snolen It sucks, but quarantine/ travel restrictions are still sound public health measures for such deadly contagious diseases. Of course, we know from experience that the virus travels faster than the news, so singling out a few countries is probably not going to be very effective."	m	1
@smgriffin00 Good luck!  I was fortunate and never had any substantial side effects other than a mildly sore arm from any of my 3 Moderna doses (either that or I got the placebo 🤔).  So there’s hope for you!	p	1
‘Complacent’ #Germany facing bleak 2022 as it lags behind UK - new Chancellor warned #Brexit #OlafScholz #Merkel #Covidhttps://t.co/ya3ilPhQap	g	0
"@mtgreenee Why are you so determined to do everything you can to prolong the pandemic?Vaccine mandates are not unconstitutional, they've been in place for decades and involve no 'communist tactics'.It's staggering how stupid you are!"	p	-1
@mmpadellan It’s not about refusing.Remember “drill baby drill”?Everybody jumping on the oil wagon? The return on those investments weren’t that great.Than Covid https://t.co/LTQ2HX56RH nobody wants to invest in domestic oil production when they can throw it in the stock market.	o	-1
"@FuVaccines3438 My son had the same, only 29 years ago after the hooping cough vaccination. He is fine now but I feel your pain even after all these years. My prayers are with you."	ov	1
@Jeffrey_Addison @section_117 @Red_Rigger Vax passport isn't proof of being jabed. With their exemption they still get vax passport. Is that too hard to understand or has the vax messed with your critical thinking (like all the rest of the covid lemmings)?	ov	-1
"Omicron COVID-19 variant to be monitored before WA sets reopening date, Mark McGowan says https://t.co/MEykZXmS70"	g	0
"@DoctorLunge @FrankSp82601647 @basil_ireton @nursey40 @pplatesrgrate @fly_girl7 @fi_writing @Attilla_dehun @AnnadeBuisseret @BorisJohnson @crbarnes001 @veronic79637238 @miss_anthrop75 @lorrain00414525 @Blame_me66 @TornadoRat @BreesAnna @ez_dee @TheFreds @sorryantivaxxer @LongCovidKids Your desperation to hold onto the belief that covid is deadly is clear for all to see. Good luck with that because you’ll find the majority of people are now done with the bull💩 lies and fear mongering but by all means, you keep going. Whatever floats your boat I guess"	o	-1
@SentientPotato6 We should let researchers determine the best vaccination regimens and twist arms as hard as politically feasible to get people to take them. Full stop.	p	0
"@Tiffany54980830 @CerebrumScops @JcVasquez52 ✝️""All vaccinated people will die within in 2 years""Nobel Peace Prize Winner Virologist Luc Montagnier has confirmed that there is no chance of survival for people who have received any form of the vaccine. https://t.co/XQEUSdPEgy"	ov	-1
"@TB_TB_TB_TB_TB Devils in the detail. How is 'vaccinated' defined? Having had a jab, or not having had a jab because 2 weeks haven't elapsed, &amp;/or had it 'x' months ago?"	ov	-1
Could I strongly suggest that if you live in Old Bexley and Sidcup constituency you vote for and elect Richard Tice  on Thursday - we need loud vocal opposition in Parliament to these (and future) ridiculous Covid measures and not more of the same just following a Party whip!	g	1
@Walttheold i am just on my way for shopping ( can be a big one cause I fear a lockdown)  After my return I will listen	o	0
"@DebraEuler @WWChicago123 @Finneganporter I sure do love my solar powered microchips from the vaccine that inside my body, completely unexposed to sunlight. mmm yummy."	ov	0
"th Africa h ✍✍#허브액상✍✍as complained it is being punished - instead of applauded - fo♚♚♚♌︎♌︎♌︎♌︎♐︎♐︎♐︎♐︎♐︎♐︎♚r discovering Omicron, a concerning new variant of Covid-19."	g	0
@WhteRbbnAdvocat @davidbewart @colinelvy11 @CockramRD This is a government on the teat of big business.  If you run a small business you would be aware of that due to the lack of supports in the latter part of COVID.	g	-1
HELLO OMG THE VACCINE IS SP LOG. FCUKD	ov	-1
@ChaChaC87311797 Yeah I'd like to see some real life pictures of these bacteria. We can be shown graphics of them but not any enhanced real pictures of covid and it's variants	o	0
"@Anon94343572 @KaitMarieox Some people did call Trump racist when he banned travel from China....but ONLY for Chinese nationals, everyone else could still travel from China to the US during the start of the pandemic."	g	1
@SonOfTheSun333 @trafficconehelp @rise804 @Finneganporter “whatever they're told by big daddy government”This is just more projection.Trump is “big daddy” government.Few people get vaccinated because they have been told to. Everyone I know got vaccinated after having considered the scientific evidence and decided for themselves.	g	0
"Confidential. $OCGN #COVAXIN For the 9,000,000th time. Things are happening behind-the-scenes. https://t.co/kDm5CHZdPE https://t.co/qXJRAEKrl6"	o	0
"@fordnation consistently demands Covid action from everywhere else while not acting themselves.We need vaccine mandates and a serious push towards higher vaccination rates and third doses. Those measures are Provincial responsibilities within your jurisdiction today, so act now https://t.co/JJA6gDqJGr"	p	1
Booster jab cancelled!	a	0
"@MarkGermaine @juliannejtaylor @guzmannutrition @NanciGuestRDPhD @EatsleepfitJeff @nzsugarfree @mackinprof some of these were already happening prior to this, the pandemic just rushed it along  (the middle two specifically), the future just got here a little sooner than expected"	o	0
"@WAGSocialCare My son had a COVID vaccine scheduled today at a Walgreens. I received a confirmation email yesterday, drove there today (almost an hour round trip) only to be told the pharmacy is closed on weekends now and I had to reschedule. This was incredibly frustrating"	p	-1
...from @rtenews: Omicron: 'Reason to be concerned' - De Gascun https://t.co/kFvoD8t4xW https://t.co/tpPXMovFQo https://t.co/sgmAm7hGXn	s	0
The latest Solo Belle Notizie! https://t.co/KlYUJyTIeU Thanks to @jmorat @AmnestyPiemonte @KarinValenzano #covid #covid19	o	1
"@mark_forty2 @CelticNotorious Oh yes, CDC analysis being doctored by the Covid deniers in the Trump admin. Not sure that supports your argument…"	g	-1
@abcnews Wake up Qld. How long have vaccinated travellers been allowed I to SA?Not long. But already a steady flow of covid cases.Vaccination does not stop transmission. So what's the point of vaccine passports.They offer no protection.#auspol	a	-1
FCK COVID 🥺 https://t.co/ZeFcruEZNg	o	-1
"My condolences 💐 to the families, loved ones 🥰 , friends and communities of these 41 people who we lost 😞 to COVID-19.  Their absence will be deeply felt. https://t.co/RxvTwSmAQ0 https://t.co/8rBxNYCkwP"	o	1
"@VP No way am I signing up for a lifetime of never ending booster shots with undisclosed ingredients, undisclosed manufacturing process from big pharma who has ZERO LIABILITY if their jab injures or kills you. Along with costly follow up care from heart problems from a ""free"" shot."	a	-1
"@Carolin23290674 @Mohawk83586114 @BBCPolitics I think the virus your talking about is the media. And if that's the case then I agree with you. But If your talking about covid 19 that has a 99.8% survival rate,I would say it's been two years people got used to covid most people who have had it survived and only had it once."	p	0
@timesofindia OMG. Will it mean a complete lockdown once again?	m	0
FDA authorizes COVID boosters for all U.S. adults | MDedge Internal Medicine https://t.co/fe3jdfltfr	g	0
We just had the Delta variant and suddenly the names of the next in line are skipped to Omicron. Why has this acceleration of naming variants jumped by so many? Has an agenda been accelerated?	ov	0
"@mbielamowicz1 @JoeBiden 🤣🤣🤣 Covid related? Have you come up for air out of the sand to look at the record border crossings of illegals from all over? 🤣🤣🤣 maybe you might look before commenting 🙄 Just FYI Covid 19 doesn't exist. Produce 1, just 1 truth of isolation of the source. You cant"	g	0
@FoxNews But they are all vaccinated 🤨🤨	ov	0
"Transmission potential of vaccinated and unvaccinated persons infected with the SARS-CoV-2 Delta variant in a federal prison, July—August 2021 https://t.co/nPBPR9nICz"	ov	0
@GillianMcKeith I had the Pfizer jab and every time I see a tweet by mckeith it looks like bollocks	ov	-1
"#Thailand recorded 6,073 #Covid19 cases and 32 deaths on Saturday. @Thenationth https://t.co/BtGzRErusM"	g	-1
Officials briefed PM Modi about the new Variant of Concern ‘#Omicron’ along with its characteristics &amp; impact seen in various countries. Its implications for India were also discussed. PM spoke about the need to be proactive in light of the new variant: PMO #OmicronVariant	g	0
@MatiB0i @davidqhog You can’t get a taxi if you’ve got covid. What a stupid suggestion.	m	-1
I need whiskey recommendations for the omicron round of the pandemic.	ov	0
"Each new variant is more easily transmitted, evades the jab more easily, and is more deadly.Weird."	ov	0
"“South Africa has given the world a precious gift, and along with our gratitude and support and resources so that they can better battle their own outbreak, this gift deserves to be treated with the respect it deserves, by acting on it.”By @zeynep https://t.co/3YgFmvLPkP"	g	1
Cardinal Parolin: Fraternity and hope are keys to finding way out of crises - Vatican News https://t.co/RPGwFzkAGo	g	1
Omicron is an anagram for Moronic. They are laughing in our faces 💯💯💯	o	0
"Rep. Ronny Jackson, who raved about Trump's health when he was the top White House physician, called omicron the ""Midterm Election Variant"" that Democrats somehow cooked up to push mail-in ballots. https://t.co/iLahARmDye via @HuffPostPol"	g	-1
